"evaluation of sin","difference from sin","relative error"
"-0.29404032523210788","1.9428902930940239e-15","-6.6075640868657843e-15"
"-0.24868988716465446","3.0253577421035516e-15","-1.2165182012811254e-14"
"-0.20278729535631862","-6.1894933622852477e-15","3.0522096324672834e-14"
"-0.15643446504003386","-5.3845816694320092e-15","3.4420686439233205e-14"
"-0.10973431109083946","1.4988010832439613e-15","-1.3658454391746391e-14"
"-0.062790519529111716","-4.0939474033052647e-15","6.5200088070738848e-14"
"-0.015707317311618504","-4.5900783174346316e-15","2.9222547850617049e-13"
"0.03141075907834269","7.0846106758892802e-15","2.2554726099489983e-13"
"0.078459095728054137","1.8041124150158794e-15","2.2994305482045409e-14"
"0.12533323356450263","-8.6042284408449632e-15","-6.8650813484487459e-14"
"0.17192910027961528","-4.163336342344337e-16","-2.4215425635179408e-15"
"0.21814324139674435","-3.0253577421035516e-15","-1.386867510876118e-14"
"0.26387304996558197","5.9952043329758453e-15","2.2720032734521242e-14"
"0.30901699437514402","-4.2188474935755949e-15","-1.365247727590636e-14"
"0.35347484377946475","7.8825834748386114e-15","2.2300267228512541e-14"
"0.39714789063496647","-9.0483176506950258e-15","-2.2783244892043172e-14"
"0.43993916985611581","1.099120794378905e-14","2.4983472027244246e-14"
"0.48175367410188508","-1.7430501486614958e-14","-3.618135662194864e-14"
"0.52249856471614531","1.2212453270876722e-14","2.3373180512967713e-14"
"0.56208337785231532","6.9944050551384862e-15","1.2443714457210509e-14"
"0.60042022532605166","-3.3306690738754696e-15","-5.5472299789147972e-15"
"0.63742398974886805","1.1768364061026659e-14","1.8462380221465102e-14"
"0.67301251350994795","1.2989609388114332e-14","1.93006951986229e-14"
"0.70710678118669501","-6.106226635438361e-15","-8.6355085227588872e-15"
"0.73963109497876556","1.0325074129013956e-14","1.3959762101822568e-14"
